nama,fakultas,nilai_mat,nilai_kim,nilai_fis
Fiona Tamez,FTI,70.8,36.49,51.71
James Lattimer,FMIPA,53.53,30.02,32.93
Arline Jenkins,FTMD,80.02,38.67,58.43
Ruben Mayberry,SITHS,84.59,42.44,40.48
Chad Lauffer,FTTM,84.4,61.21,73.91
Elizabeth Day,FMIPA,60.62,32.57,42.34
Sergio Myers,FTI,67.48,46.78,52.3
Melvin Guillory,SAPPK,70.27,50.1,54.01
Wayne Larsen,STEI,53.4,43.06,60.3
Lee Capponi,FMIPA,74.29,38.44,49.15
Gregory Rouse,FITB,71.49,35.86,37.41
Michael Mcguire,SAPPK,68.57,37.02,53.25
Gary Peck,FTI,100.0,59.79,55.33
Louise Mansfield,FTI,67.15,57.72,54.24
Louis Hogan,STEI,54.11,58.01,73.17
Cheryl Rodriguez,FTTM,56.45,41.68,57.21
Tracy Cooke,FTI,55.84,44.41,55.53
Thomas Russell,FMIPA,41.88,53.44,52.51
Josephine Burchfield,FTMD,79.83,39.88,40.09
Frank Hayes,FMIPA,63.17,28.02,33.32
Jennifer Halley,FTTM,73.33,49.62,53.86
Gary Flowers,STEI,81.06,35.58,39.54
Stella Madigan,FITB,100.0,41.5,48.32
Thomas Green,STEI,51.18,44.68,54.51
Darwin Hill,SITHR,69.74,21.65,36.65
Gilda Branson,SITHS,60.91,49.11,53.34
Toni Biddle,SAPPK,76.08,54.45,59.09
Paul Steward,FTMD,79.61,39.87,51.05
Jose Anderson,FITB,72.9,58.31,66.09
Verda Ferguson,STEI,83.97,54.83,70.91
Molly Guerrero,FTMD,69.56,59.47,65.12
John Chancellor,FTI,61.43,53.07,71.78
Bridget Harris,STEI,78.81,47.67,64.33
Norma Dargis,FTSL,60.57,43.05,51.91
Pamela Higuera,FTSL,93.82,45.88,51.52
Jared Colflesh,FTSL,48.18,24.89,32.12
John Mallett,FITB,84.69,38.94,50.01
Albert Miller,STEI,44.69,42.34,39.49
Bessie Nunez,FITB,66.69,41.85,57.7
Richard Mayo,FMIPA,72.42,54.78,50.01
Lisa Rodriguez,FTI,58.11,56.74,58.37
Judy Highshaw,SAPPK,54.28,51.92,61.63
Barbara Gipson,FTSL,61.95,38.34,45.05
Cynthia Lamborn,FTMD,81.01,47.58,52.31
Randy Pluemer,SITHR,50.71,54.43,64.97
Emily Free,SITHS,33.63,24.74,30.1
Lillian Shepard,FTSL,70.21,33.56,43.39
Carl Green,SITHR,90.62,31.34,46.38
Mary Foster,FTMD,45.34,34.56,45.56
Edward Dunham,FTI,84.04,49.9,56.19
Wesley Box,SITHR,68.57,32.91,48.2
Jorge Steele,FTTM,70.95,39.52,38.58
Edward Swartz,SITHS,79.44,42.69,52.38
Charleen Douthitt,FTI,47.68,51.62,57.64
Maureen Gajeski,FTSL,65.15,54.0,70.5
Michael Terepka,FITB,61.63,43.19,44.6
Charles Nichols,FTSL,90.32,52.88,55.95
Raymond Hollingsworth,STEI,71.13,34.82,39.77
John Smith,FTI,86.31,52.42,61.9
Gabriel Rutledge,FITB,70.35,37.6,35.73
Justin Anaya,FTMD,70.71,43.37,52.33
Jessica Hodge,FTMD,62.53,57.03,53.12
Julie Scholes,STEI,74.88,43.71,47.75
Martha Roberts,FTI,74.8,53.88,64.24
Deborah Griffin,FTMD,93.03,33.59,30.07
Andrew Nghe,FTMD,51.58,31.35,43.02
Timothy Vergari,FTMD,89.2,27.67,55.06
Karen Washington,FTI,65.27,69.31,76.61
Gerald Ryan,FTI,65.13,50.38,51.75
Louis Jacobs,FTI,61.01,26.67,37.22
Debra Allen,SAPPK,83.95,61.39,64.95
Kimberly Stone,FTMD,100.0,42.94,53.3
Chris Mckenzie,FTI,86.13,59.9,52.93
Bonnie Garcia,FTTM,68.93,48.42,44.5
Thomas Martinez,FTI,40.77,46.26,54.62
Benjamin Hill,FTTM,81.69,43.26,51.32
Christopher Phelps,FTTM,62.31,40.98,50.9
Diego Sandow,STEI,45.76,60.6,55.12
Sharla Sullivan,FTTM,70.19,42.41,52.5
Blake Tiley,FTSL,82.64,56.75,56.93
Daniel Grubbs,SITHS,75.24,44.22,46.49
Shirley Johnson,FTI,67.99,39.42,43.23
Suzan Adams,STEI,83.93,49.3,61.83
Steven Camacho,STEI,59.36,51.18,61.08
Maurice Hart,FTI,76.43,58.09,60.99
James Desrosiers,FTTM,84.81,61.77,78.1
Paul Harper,STEI,100.0,41.45,50.13
Sarah Price,FTMD,91.3,41.48,51.94
Janeen Mckee,FTTM,62.95,42.61,53.05
Christina Billups,FMIPA,61.58,58.59,50.48
Mallory Partlow,FTI,59.51,43.67,58.0
David Barnes,FTI,79.64,53.31,59.02
Jessie Yu,STEI,70.75,36.07,51.49
Cindy Bohnert,FMIPA,56.01,67.03,77.18
Dorothy Morningstar,FTI,82.33,36.24,42.71
Thomas Fonville,FTTM,84.77,47.36,56.49
Mary Huffman,FTTM,52.25,64.3,58.34
Robert Streb,FTMD,55.77,34.73,36.68
Shawana Reed,FMIPA,73.75,53.43,58.55
Terri Phillips,SAPPK,80.35,49.58,35.01
Christopher Mayfield,FITB,69.92,41.04,47.48
Cierra Rhymes,FTI,65.04,55.4,64.16
Vergie Garcia,FTI,87.14,47.18,46.38
Andrea Trojillo,STEI,70.86,33.91,35.12
Deanna Cervantes,STEI,79.91,47.49,46.05
Jimmy Snowden,FTI,76.09,41.92,43.39
Meredith Randolph,FTMD,56.51,34.22,35.97
Robert Markley,FITB,74.14,20.95,43.18
Erik Arrington,FTTM,55.82,32.7,47.3
Jeffrey Harper,FTTM,80.16,48.41,47.14
Michael Robinson,FMIPA,83.69,47.32,56.39
Derrick Jenkins,FTI,71.11,32.57,30.64
John Winter,FMIPA,64.63,42.32,46.59
Harold Halpin,FTMD,82.47,43.95,34.38
Lorraine Hollis,FMIPA,70.36,52.26,53.24
Ernest Coleman,SITHS,83.78,45.03,51.21
Douglas Wagster,FTI,63.38,40.34,40.62
Scott Price,SITHR,92.92,49.2,51.12
Juanita Bernal,SITHS,58.28,62.62,71.44
Ramona Hendricks,FMIPA,94.38,35.15,49.75
Sandra Martinez,FTI,93.71,39.2,45.62
Samantha Gwinn,FTSL,66.87,44.26,58.52
Emery Chappell,FTMD,82.68,36.24,44.79
Allen Squier,FTMD,56.01,43.16,54.36
Kate Marks,FTI,74.88,44.68,42.49
David Ortiz,FTI,68.94,44.43,50.91
Juan Thomas,FTTM,88.23,37.76,51.07
Sandra Fitch,FTMD,63.8,33.63,42.57
Forest Wilson,SAPPK,65.94,16.65,26.62
Jessica Knight,FTTM,77.03,39.54,49.16
Karmen Parham,FTTM,69.02,41.38,51.99
Robyn Brown,SAPPK,47.08,44.01,53.14
George Bullock,SAPPK,57.16,60.08,55.54
Scot Leon,FTSL,83.77,19.55,24.22
Jean Reese,FITB,66.14,51.92,51.9
Jacob Olivia,FTMD,75.17,41.3,53.87
Martin Harward,SAPPK,70.07,36.33,44.39
Jeanette Furbush,STEI,82.26,42.96,37.11
Mary Powell,SITHS,75.41,45.32,52.23
Yvonne Gates,FTTM,56.49,28.41,35.08
Oscar Hutchison,FTI,75.16,55.8,49.08
Danny Graig,FTMD,90.81,57.39,52.13
Kimberly Murillo,FTSL,68.97,22.27,37.34
Ross Conklin,FMIPA,70.96,32.7,38.08
Mary Wile,FTI,78.44,30.45,52.95
Cinda Moorehead,FITB,72.31,46.05,50.19
Kelly Elliott,FTSL,52.13,39.65,48.94
Herbert Tesch,FTTM,66.34,63.85,69.12
Angie Harris,STEI,83.38,43.84,55.22
Eric Wright,FTI,100.0,44.07,64.61
Gilberte Gabert,FTMD,79.3,51.7,53.26
Marsha Pimentel,FITB,88.17,42.73,49.71
Lawrence Leese,FITB,67.02,47.62,56.26
Johnny Schmid,STEI,72.0,53.88,64.44
Loretta Sinkiewicz,FITB,77.66,49.37,58.13
Judy Smith,STEI,51.94,29.02,33.84
Clyde Drake,FTI,46.4,46.91,52.22
Dana Johnson,FTTM,67.76,23.43,37.97
Harry Lord,FTMD,62.78,44.62,58.34
Betty Yang,SITHS,78.65,27.36,39.99
Lucille Clarke,SITHS,45.88,54.6,73.71
Charles Johnke,SAPPK,55.25,59.18,66.12
Dorothy Graham,SITHS,70.22,53.01,55.28
Jeffery Rivera,FTMD,62.94,49.79,59.9
Carl Valenzuela,STEI,76.08,40.09,60.49
Christopher Fredericks,FTSL,70.58,40.2,36.59
Kyle Walker,SAPPK,88.16,38.66,51.31
Andrew Gibbs,FMIPA,66.42,28.47,27.29
Angel Lawson,FTTM,70.17,44.01,35.88
Nona Simmons,SAPPK,94.87,51.69,51.4
Charles Junker,STEI,58.54,52.21,63.98
Tom Tracy,STEI,31.22,60.62,72.58
Theodore Gallegos,FTI,75.77,39.84,36.16
Garrett Shea,STEI,53.85,51.69,61.3
John Wright,SITHS,78.05,33.76,51.59
Lenny Allison,FTI,61.37,43.5,51.03
Melvin Molina,FTI,57.72,27.16,55.28
Tyler Thompson,SAPPK,63.21,45.42,62.08
Willie Nichols,FTMD,83.13,42.21,55.4
Christy Davis,STEI,71.19,38.18,42.1
Keith Horvath,SITHS,73.21,34.04,36.4
Vivian Gable,FTTM,83.85,55.71,55.56
Pamela Rhodes,FMIPA,57.95,40.59,51.93
Lola Fahrlander,FTMD,68.59,47.78,54.36
Jose Stilwell,SITHR,63.14,56.19,66.25
Joe Davis,FTTM,76.16,28.26,34.14
Derek Gierisch,FMIPA,70.21,36.38,38.64
Andy Deoliveira,SAPPK,75.61,33.64,44.32
Jason Potter,SAPPK,78.51,39.76,51.34
Deborah Loud,FITB,53.67,50.48,52.02
Brett Collins,FTMD,76.5,47.38,66.98
Cynthia Rutherford,FMIPA,72.9,38.37,55.94
Kelli Waite,FTSL,68.42,34.05,38.82
Janice Arnold,FITB,85.93,49.66,55.47
Duane Landres,FTMD,74.41,37.44,49.12
Stephanie Gonzales,FTI,84.62,43.34,52.42
George Caldwell,SITHR,68.81,44.23,45.57
Tamika Bradby,FMIPA,50.87,55.75,59.11
Martin Fong,FITB,86.33,34.46,51.29
Brett Armstead,FTSL,76.23,49.34,52.35
Alan Lewis,FTTM,43.11,41.86,51.46
Harold Parker,FTSL,67.64,44.32,62.43
Marion Lewis,SITHR,77.21,42.45,55.93
Richard Smith,FTI,77.73,28.98,36.88
Miranda Graham,SAPPK,64.06,45.07,60.94
Katelyn Saenz,FTTM,78.59,40.1,49.39
Frank Waldron,FTI,65.43,29.7,44.36
Jose Patrone,FTMD,65.04,41.59,52.92
Chuck Bark,FTMD,81.44,50.58,63.36
Jody White,SAPPK,59.72,26.5,42.94
Rebecca Longway,FTSL,53.6,22.12,45.81
Kathy Thompson,SAPPK,87.05,43.45,39.51
Alma Hess,SAPPK,85.71,44.5,56.2
Cecelia Browning,FITB,29.83,39.58,50.19
Amanda Cunningham,STEI,87.29,62.0,65.75
Amanda Delaney,FTTM,60.67,67.64,74.59
Patricia Holloman,SITHR,64.6,28.23,33.54
Marvin Rios,FMIPA,89.56,41.02,50.36
Lloyd Weisser,FITB,77.7,42.31,44.31
Carter Brooks,FTMD,58.06,39.67,65.31
John Posey,FTTM,67.3,47.02,58.75
John Jones,FTSL,49.29,50.79,54.45
Deann Douglas,SAPPK,74.34,36.83,40.3
Robin Patton,FTTM,57.98,30.25,50.95
Connie Gemmill,SITHS,56.52,47.71,52.23
Dillon Hubbard,FTSL,59.12,53.21,71.16
Raul Pfeiffer,FMIPA,83.6,53.85,63.26
Robert Clardy,FTI,51.54,51.87,53.31
Casey Larez,FITB,49.78,36.85,32.87
George Terry,FTI,77.63,28.87,29.74
Donald Ruiz,FMIPA,68.52,50.07,59.42
Beverly Bay,FTI,77.04,49.81,38.7
Randall Blankenship,SITHR,72.97,59.32,62.97
Rebecca Liscomb,STEI,66.61,53.38,59.86
Leda Kilgallon,FITB,69.13,49.56,56.21
David Thomas,FITB,51.96,38.72,42.86
Roger Orozco,FTSL,38.23,49.81,55.29
Sarah George,FTI,63.01,32.79,49.47
Paige Lado,FTI,91.3,57.13,55.73
Bobbie Street,FTMD,66.29,54.48,71.18
Michael Johnson,FTMD,67.88,59.96,65.25
Lisa Clark,FTMD,74.37,52.43,57.72
Steven Russell,FTI,73.81,46.67,59.22
Roger Pollock,FTTM,51.2,63.41,82.08
Joanne Kaminsky,FITB,44.82,28.56,29.23
Roxane Allen,FTSL,70.36,57.71,65.02
Herbert Reyes,FTTM,82.48,52.51,50.37
Eva Starling,FTTM,72.37,36.2,46.63
Michael Treanor,STEI,55.03,50.66,72.88
Todd Wilson,FTI,88.92,38.43,48.73
Elva Zinger,FTSL,69.66,64.55,66.54
Jordan Williams,FTI,83.91,43.1,43.11
Jennifer Jones,SITHR,66.57,43.43,48.44
Maria Jeffrey,FTSL,74.1,59.81,72.54
Scott Alexander,SITHR,65.18,52.59,55.94
James Santana,FTSL,50.96,46.89,64.33
Maria Garnick,FTMD,76.71,44.88,46.84
Betty Sinclair,FTMD,85.37,47.4,45.45
Tatiana Folden,FITB,93.12,57.34,50.53
Elsie Cherry,SITHS,67.28,25.89,38.06
Charles Vazquez,FTTM,63.19,51.46,47.81
George Lockett,STEI,55.39,49.84,62.83
Roger Killer,FTSL,100.0,31.39,47.43
Michael Quiroz,FMIPA,71.78,56.54,59.06
Sharon Peterson,FTSL,60.36,38.88,49.15
Jose Nelson,FTI,52.86,51.76,60.22
Willie Wilson,FTSL,74.98,57.7,56.89
Tony Sosa,FTI,64.9,60.82,68.98
Juan Diggs,SITHR,54.86,25.62,30.7
Lisa Hutcheson,FTMD,66.37,46.78,61.51
Eric Gale,FTSL,63.32,38.42,45.06
Robert Bennett,FTSL,72.79,53.46,58.84
Robert Osterstuck,FTI,70.59,62.52,74.11
Samantha Hames,SAPPK,64.16,27.5,49.2
Eric Pully,FMIPA,72.21,54.85,58.84
Bessie Vazquez,FTTM,89.59,55.36,71.68
Gary Flannery,FTSL,67.89,50.09,50.01
Ann Hicks,FTI,59.44,37.03,58.54
Danielle Mayer,FTMD,82.88,32.36,43.66
Marvella Blackwell,FMIPA,77.3,22.18,30.69
Thomas Owens,FMIPA,57.38,50.49,76.33
Mark Graham,STEI,63.5,47.26,51.82
Mary Bell,SAPPK,58.88,27.61,32.87
Laura Gladden,FTSL,67.04,23.88,32.3
Glen Smith,FMIPA,72.66,55.19,61.84
Muoi Richter,FTSL,56.67,36.22,55.19
Maria Stumpe,FMIPA,59.74,44.5,59.58
Ruth Baysinger,FTSL,72.03,40.07,57.07
Margaret Green,FMIPA,62.92,26.5,40.74
Tony Gehring,FTTM,78.02,59.54,54.14
Abraham Wilt,FTI,71.72,48.93,56.35
Daryl Owens,FTSL,100.0,37.07,43.83
Anthony Vanhandel,FMIPA,78.01,32.49,36.86
Patrice Moss,SITHS,55.77,38.6,45.72
Anton Kennedy,FITB,53.73,44.6,61.26
Edgar Maldonado,FMIPA,69.58,51.02,55.11
Gregory Styles,FTMD,60.91,34.42,47.29
Benjamin Smith,FMIPA,48.74,45.34,56.09
Sharon Hoare,FTTM,100.0,48.98,51.73
Julia Leonard,STEI,78.02,46.26,64.84
Ruby Moore,STEI,68.73,54.32,53.99
Michael Belk,FTI,94.07,62.27,74.75
Ella Brown,FTMD,74.3,54.81,69.28
Karyn Filer,FTSL,88.35,52.98,69.99
Scott Jenkins,SITHR,82.24,49.23,62.17
Katherine Bohorquez,SAPPK,87.87,44.23,50.38
Jean Chung,FTTM,61.22,46.1,47.43
Lois Castro,FTMD,60.74,36.3,37.73
Trudy Harper,FTMD,81.92,58.06,58.26
James Roach,FTI,39.34,46.51,63.85
Clint Postley,FTTM,70.03,52.07,66.95
Janet Ohanesian,FTI,64.15,38.6,50.35
Tyler Vargas,FTI,79.47,58.16,70.27
Eileen Tanner,FMIPA,84.21,59.4,54.38
Mabel Sharp,FTTM,72.98,25.83,40.23
Grace George,SITHR,95.48,38.13,46.38
Shawn Erdmann,FTMD,70.14,39.78,52.08
Donna Cagle,SITHR,87.56,38.32,40.2
Patricia Bowman,SITHR,58.34,14.94,26.39
Michael Wegner,FTTM,75.46,26.07,30.34
Paul Rogers,FTI,59.83,37.09,49.55
Thomas Rojas,FTMD,76.03,56.96,70.04
Patricia Davidson,FTMD,65.53,39.5,58.67
Christopher Mack,FMIPA,75.01,41.24,45.11
Samuel Desorcy,STEI,73.49,57.14,66.37
Stormy Collier,FTTM,69.08,56.86,69.35
Jennifer Mchale,FTI,52.96,5.31,15.81
Larry Turley,FTI,88.8,75.29,71.54
David Lawson,SITHR,80.89,61.34,53.02
Dennis Debarros,FTSL,54.45,58.71,58.03
Dale Majors,FTI,64.46,30.98,40.68
Sandra Heinrich,FMIPA,70.08,55.69,63.69
Lola Barnes,STEI,90.76,40.97,39.24
Patrick Kinde,FITB,79.5,56.51,66.96
Nick Tuggle,FTMD,100.0,42.45,53.3
Lucy Silverthorn,FTMD,47.36,47.86,51.11
Virginia Tvedt,FTSL,73.74,28.69,32.3
Luther Steele,STEI,80.23,51.38,69.87
Peggy Cardenas,FMIPA,48.19,26.83,24.14
Richard Oconnor,FTSL,63.53,75.98,78.74
Hector Hall,FTI,84.63,49.04,56.25
Michael Phillips,FITB,83.31,51.42,63.11
Vivian Hibbert,FTI,70.81,50.79,67.19
Jake Rains,FTI,91.01,33.12,42.99
Peggy Desroches,FTMD,84.96,47.62,58.68
Teresa Foster,STEI,61.15,43.01,43.09
Rebekah Callahan,SITHS,57.93,50.56,61.29
Julie Newstead,STEI,86.12,42.3,39.32
Cathy Ward,FTI,81.82,36.78,46.31
Catherine Turley,FMIPA,61.23,43.25,62.72
Tammy Crosby,FMIPA,75.8,49.33,43.99
Dorothy Glover,SITHS,67.45,32.01,43.38
Marco Monton,FTI,67.12,42.42,51.43
Ramon Colby,STEI,73.85,30.75,26.79
Edgar Mahan,STEI,61.25,43.0,57.53
Lawrence Stein,FTMD,76.31,24.13,35.16
Lynn Harrell,FTTM,73.35,44.92,61.48
Herman Atkins,FTTM,57.61,34.15,46.0
Naomi Asberry,SAPPK,62.81,31.74,48.77
Kristopher Renfrow,FTI,69.29,61.35,66.31
Darlene Parker,SAPPK,61.37,40.64,50.72
Roy Goad,STEI,67.55,48.51,47.47
Frank Hernandez,SITHR,74.11,68.77,69.65
Nellie Sawyer,FTI,100.0,38.14,34.75
Joseph Laplante,FITB,84.12,51.44,57.54
Cheryl Kelly,FTTM,80.11,43.98,47.44
Jeff Ingle,FTTM,77.18,55.31,62.46
Mary Brown,FITB,69.41,35.06,42.8
Dennis Weibe,SITHS,63.31,27.62,40.6
Leo Ferguson,FTSL,73.74,48.99,59.18
Lynn Genovese,FTI,57.53,37.98,55.67
Charles Curry,FITB,67.65,47.99,54.48
Ellen Carlisle,STEI,78.43,55.97,48.67
Beth Broe,FTSL,62.52,40.52,50.19
Alma Pratka,FITB,100.0,32.98,45.31
Florence Carreon,FMIPA,77.89,38.12,44.28
Daniel Taylor,FMIPA,75.05,27.32,33.87
Angela Alsup,FTI,54.83,43.89,51.25
Daniel Roussel,SAPPK,100.0,32.63,43.12
Aaron Williams,SITHS,70.91,46.16,48.71
Stephen Garver,FTSL,74.71,27.35,28.72
Ronnie Walls,FTTM,79.51,34.24,51.82
Joseph Li,FTI,92.88,48.16,55.4
Louise Hernandez,SAPPK,79.52,38.25,43.82
Michell Rose,FTMD,72.08,28.67,41.62
Ruth Moore,FTI,63.45,48.8,37.94
Josephine Elias,FTI,93.92,56.89,46.82
Walter Beard,FTSL,89.25,46.02,47.99
Ramon Griffin,STEI,60.59,64.5,67.32
Sandra Torres,FTSL,47.02,45.13,58.0
Yer Jackson,FMIPA,57.66,22.41,38.9
Virgil Berber,FTI,56.94,56.94,72.66
Joel Thomas,FTSL,66.41,53.61,56.94
Rose Mangram,FTTM,36.55,52.77,50.37
Jacqueline Rodriguez,FMIPA,81.51,55.88,60.12
Alicia Williams,STEI,88.7,62.26,74.45
Alejandro Jones,STEI,62.21,30.05,52.12
Danielle Smith,FTTM,58.69,49.72,51.95
Carmen Fonseca,FTSL,60.98,45.74,62.03
Bonnie Church,FTI,67.78,39.62,49.85
James Lama,STEI,87.6,51.32,71.28
Tiffany Finley,FTTM,61.72,34.5,52.16
Martin Cooper,FTTM,79.12,30.78,45.22
Charlotte Herriott,SAPPK,57.02,58.49,57.11
Michael Mcrae,FTTM,54.85,48.2,48.42
Cornelius Phillips,FITB,44.84,48.15,43.7
Sandra Ayala,SAPPK,52.62,35.15,51.37
Charlene Briscoe,FTSL,69.07,43.33,59.25
Julie Lanoue,FTTM,59.79,37.4,40.51
Anna Reynolds,SITHS,46.02,55.26,59.55
Jimmy Calligan,SITHR,42.67,29.46,48.92
Linda Stahl,FTMD,61.39,56.29,64.6
Emily Tuller,FTTM,68.66,76.04,75.09
Jackie Dondero,FITB,72.79,48.65,41.44
Mike Greig,SAPPK,91.84,48.23,56.53
Betty Hossler,FTSL,67.8,53.78,54.61
Gladys Peters,FITB,72.94,49.32,44.3
Diane Murry,FTMD,70.0,45.18,47.25
Crystal Hopkins,SITHR,78.36,48.17,62.0
Anthony Cambridge,STEI,87.95,30.8,30.89
Nancy Delafuente,STEI,90.32,47.99,67.71
Rosemarie Ellman,FTI,49.62,29.39,37.56
James Kessinger,FTMD,72.93,37.62,48.85
Keith Tylwalk,FMIPA,66.28,30.18,36.25
Dawn Brown,FTMD,78.59,43.89,47.64
Jimmy Mack,FTTM,62.37,25.51,43.38
Maria Aviles,FTI,92.15,49.38,65.48
Samatha Bernard,FTMD,66.68,26.82,34.13
Donna Johnson,FTTM,69.15,65.02,65.98
Michelle Nappi,FMIPA,82.94,45.19,54.17
Lori Cain,FTTM,68.43,15.99,23.69
Lisa Jones,FTI,88.74,53.88,57.83
Connie Cain,FTTM,70.84,35.02,34.27
Robert Kennard,FTI,74.17,34.47,42.82
Susan Parsons,FTMD,82.73,33.05,43.99
Blanca Stanton,FTMD,34.41,42.85,52.91
Glenn Marcum,FITB,44.77,47.32,66.42
Keith Montalvo,FITB,73.08,44.22,55.96
Robert Mueller,FTSL,65.79,44.67,48.38
Harvey Rina,FMIPA,100.0,49.02,68.23
Raymond Washington,FMIPA,69.42,40.76,42.06
Annette Vanderlinde,FITB,69.03,44.67,49.51
Michael Shelly,FTTM,59.62,37.63,34.11
Loren Cotton,SITHR,71.73,45.42,41.46
Jean Stith,SAPPK,80.42,42.59,51.48
Lester Rinaldi,FTI,65.45,57.52,61.61
Maribel Chiasson,FTI,52.64,41.31,68.68
John Gatton,FTMD,75.47,46.5,55.24
Juliette Mcilhinney,FTSL,71.67,47.8,48.34
Elizabeth Bowers,FTSL,74.07,63.48,67.44
John Schneeman,SITHR,91.8,26.92,28.33
Eleanor Jones,STEI,81.96,44.54,51.45
Renaldo Johnson,SITHS,46.88,58.77,68.82
Paul Jordan,FTTM,66.48,50.28,68.93
Lucile Simoneavd,FTI,59.33,50.03,30.55
Juan Ackley,FTI,69.31,52.48,59.29
Richard Jackson,SITHR,78.17,54.69,63.61
Sue Measheaw,FTSL,67.64,24.35,32.56
Jose Presswood,FTI,91.36,38.65,38.97
Sidney Todd,FTI,45.03,38.75,61.85
Daniel Bleau,STEI,78.01,37.15,45.31
Christopher Winn,FTI,58.45,68.96,67.91
Tara Parker,FTTM,50.05,56.91,49.58
Katherine Mcculley,FTI,77.76,55.63,67.94
Adam Williamson,FTTM,67.99,46.0,55.24
Tricia Armour,FTTM,71.45,47.17,49.33
Christopher Kummer,FITB,45.25,42.87,53.18
Joshua Higgins,FTMD,52.88,66.73,66.36
Cheryl Mackenzie,FTI,58.26,43.27,49.39
Barbara Garcia,SITHS,44.63,46.38,54.62
Terry Collins,FTI,68.49,71.52,81.28
Eileen Mcdonald,FMIPA,37.81,51.5,61.6
Sophia Mascia,STEI,64.11,41.95,63.94
Georgia Weitzel,FTMD,75.48,36.35,42.52
Jerald Sclafani,SITHR,68.77,39.33,46.36
Michael Lowe,FTI,68.2,49.99,56.64
Pamela Hart,FMIPA,81.22,43.44,46.15
Deborah Bishop,STEI,70.88,56.2,68.95
Gregory Clark,FTSL,86.65,53.8,40.5
Shane Medina,STEI,82.57,37.48,38.51
Laurel Brown,FTTM,63.37,49.09,57.73
Elias Oliver,FTI,83.27,46.82,48.71
Wilburn Hall,SITHR,80.08,45.91,54.3
Gail Elliot,FMIPA,58.0,40.91,59.81
Albert Wilson,FTSL,79.62,51.94,63.05
Michael Campbell,STEI,62.76,41.45,54.98
Mary Romero,FTI,73.09,42.32,48.57
Adrian Herald,FMIPA,73.04,18.57,22.77
Martha Lyle,FTSL,68.16,55.89,57.29
Vicki Payne,FITB,43.14,42.55,56.23
Denise Starke,FITB,62.17,51.76,55.86
Larry Wagner,FMIPA,57.16,42.99,47.44
Albert Jehlicka,FTTM,88.36,37.63,29.92
Gordon Bryant,FTSL,75.96,51.38,63.96
Wendy Murphy,FTTM,63.85,43.56,44.09
Tammy Collier,FTSL,65.22,47.35,45.5
Scott Palmer,FTSL,76.96,30.54,31.71
Betty Hollyfield,FTTM,64.68,39.56,50.37
Phoebe George,SAPPK,87.17,31.63,41.45
Mary Fleming,FTI,58.22,34.43,33.13
Ryan Gonzales,FTSL,57.02,32.66,42.6
James Rivera,FITB,63.43,41.54,34.71
John Lawrence,SITHR,73.07,25.34,23.57
Michael Mccarthy,FTI,72.38,38.69,56.1
Lyndon Collins,FMIPA,79.08,46.13,45.58
John Steel,FTSL,80.59,37.59,45.04
