nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
Yulia Yuniar,Jalan Abdul Muis No. 10,Jayapura,+62 (283) 958-9176,1997-07-15,3.42,2022-06-21
R.M. Paiman Yulianti,Gang Laswi No. 437,Tidore Kepulauan,+62-0561-857-3999,1987-11-01,3.58,2021-08-08
Gatra Pratama,Gang Waringin No. 457,Bandar Lampung,+62-0185-208-5822,1985-01-04,3.54,2023-04-23
Dr. Cakrawangsa Manullang,Gang H.J Maemunah No. 938,Surabaya,+62-0032-248-9476,1968-05-12,3.6,2021-06-22
Kasiran Melani,Jalan Otto Iskandardinata No. 033,Bukittinggi,+62 (0633) 977-7697,2000-06-16,3.46,2020-05-04
"Tgk. Aisyah Mustofa, M.TI.",Jl. HOS. Cokroaminoto No. 5,Kendari,+62 (0148) 613-9087,1973-11-13,3.32,2020-08-28
Hari Susanti,Jalan Setiabudhi No. 9,Bima,(0570) 861 3931,1973-09-20,3.15,2021-10-24
"Puti Wirda Rajata, S.Farm",Jalan Dr. Djunjunan No. 94,Tasikmalaya,(020) 815-7071,1983-12-29,3.04,2022-04-28
"Kenes Prabowo, M.Kom.",Jl. Cihampelas No. 56,Kota Administrasi Jakarta Barat,+62 (0688) 784-2125,1998-03-17,2.67,2019-04-16
"Puti Elma Pradipta, S.Gz",Gg. Cikapayang No. 80,Ambon,(0031) 881-6815,1976-04-02,1.58,2021-08-01
Sadina Uyainah,Jalan Ir. H. Djuanda No. 501,Gorontalo,+62-0343-858-5588,1999-11-08,3.24,2020-11-02
Bakda Budiman,Gg. Sukajadi No. 50,Kota Administrasi Jakarta Selatan,+62 (026) 446 0191,2003-03-19,2.85,2021-11-20
Amalia Mangunsong,Jalan Sukabumi No. 469,Binjai,+62 (23) 040-1190,2000-07-21,3.7,2020-12-16
Natalia Winarno,Jl. Kiaracondong No. 1,Cirebon,+62 (280) 444 3109,1996-05-26,3.46,2020-12-02
"Taswir Maryadi, S.H.",Jalan Tubagus Ismail No. 58,Sawahlunto,(0896) 684 8195,1990-10-08,3.32,2022-01-23
"Fitriani Prasetyo, M.TI.",Jl. Rumah Sakit No. 1,Surabaya,+62 (49) 437 7295,1966-08-14,2.65,2019-01-20
"Ir. Elvin Permata, S.Pd",Jalan Astana Anyar No. 8,Pangkalpinang,089 975 5668,1995-12-08,2.99,2019-01-16
"Hasan Wacana, M.Ak",Jl. Kebonjati No. 110,Solok,+62 (50) 212 9826,1995-06-14,3.79,2022-07-23
Raisa Thamrin,Jalan Jakarta No. 82,Meulaboh,+62 (076) 752 5860,1985-03-23,2.97,2020-11-27
"Nadia Sudiati, M.Kom.",Gang Rumah Sakit No. 4,Tidore Kepulauan,+62 (099) 929 7410,1994-03-14,2.47,2021-06-25
Hadi Usamah,Gg. Siliwangi No. 670,Bukittinggi,0867781411,1971-01-01,3.28,2020-08-06
Dr. Zamira Sihombing,Gang Pasirkoja No. 468,Jambi,+62 (045) 773-5862,1987-01-01,3.33,2019-10-25
Joko Sitorus,Jl. Jend. A. Yani No. 276,Ternate,+62-154-457-4933,1970-08-12,3.4,2022-08-04
Eva Pradipta,Jalan Asia Afrika No. 7,Bukittinggi,+62 (0951) 587-5400,1973-11-13,3.47,2018-09-17
Mitra Napitupulu,Jalan Merdeka No. 7,Banjarbaru,(034) 162 3462,2000-08-24,3.34,2020-01-20
Drs. Upik Dongoran,Jl. Kapten Muslihat No. 977,Binjai,+62 (0723) 337-4630,1981-09-01,3.52,2018-12-30
Omar Hakim,Jl. Indragiri No. 66,Balikpapan,+62 (477) 549-2721,1984-01-26,3.64,2018-10-07
"R.A. Maria Wibisono, M.Pd",Gg. Moch. Ramdan No. 1,Tomohon,083 273 3996,1991-05-16,3.57,2022-09-29
"Cahyo Maryati, M.Kom.",Jalan Abdul Muis No. 63,Meulaboh,(0677) 867-9746,1967-12-23,3.26,2020-12-10
Hasan Hastuti,Gang Cihampelas No. 57,Solok,+62 (492) 229 1875,1989-09-19,3.47,2021-08-20
Drs. Raditya Kusumo,Gang BKR No. 968,Banjar,+62 (009) 046-4660,1989-10-19,3.43,2022-01-18
"Drs. Sidiq Astuti, M.Ak",Gg. Wonoayu No. 07,Subulussalam,(074) 491 2176,2002-06-10,3.17,2019-06-27
Marwata Pranowo,Gang Cikutra Barat No. 07,Balikpapan,0892525652,1993-07-27,3.57,2020-10-08
Atma Latupono,Gang Erlangga No. 76,Lhokseumawe,083 418 4268,1993-04-04,3.34,2023-04-02
"Jasmani Gunarto, M.Ak",Jl. M.H Thamrin No. 027,Medan,+62 (85) 918-6382,1989-02-10,2.89,2019-11-26
Hasna Kuswoyo,Jl. Setiabudhi No. 294,Kendari,+62 (084) 590 3835,1981-10-01,3.24,2019-06-27
"Rina Yolanda, S.Pd",Gg. Rumah Sakit No. 399,Langsa,+62-091-579-9688,1982-12-29,3.52,2019-08-27
Lalita Kurniawan,Gang Monginsidi No. 487,Banda Aceh,(065) 962-6240,1980-12-30,3.61,2022-07-25
Restu Sitompul,Jl. Rajawali Timur No. 3,Cirebon,(077) 480 2065,1992-12-05,3.5,2020-09-13
Gaman Mangunsong,Jl. Medokan Ayu No. 16,Samarinda,+62-264-301-4496,1988-08-09,3.16,2018-06-08
Darmanto Astuti,Jalan Surapati No. 1,Kota Administrasi Jakarta Utara,+62-73-300-1086,1987-08-14,3.34,2022-11-20
dr. Teddy Pratama,Jalan W.R. Supratman No. 088,Bontang,+62-023-725-9874,1971-06-21,3.59,2019-08-18
Gading Haryanti,Gang Rajiman No. 17,Banjar,+62 (0847) 166-4362,2000-12-31,3.5,2020-01-05
Najam Novitasari,Gg. Veteran No. 28,Bitung,+62 (0350) 696 8861,1997-09-24,2.5,2020-09-07
"Drs. Cinta Halimah, M.TI.",Gang Ciumbuleuit No. 1,Surabaya,0862889303,1984-01-22,3.24,2020-07-19
Gamani Suryono,Jalan Ir. H. Djuanda No. 5,Tarakan,084 409 2371,1986-06-12,3.47,2021-04-06
Dr. Raditya Santoso,Jl. Moch. Ramdan No. 9,Bitung,(054) 733 5173,1996-10-28,3.04,2021-06-15
Puti Titin Tamba,Gg. Merdeka No. 4,Parepare,+62-007-074-0138,1986-03-22,3.12,2021-08-24
Putri Firgantoro,Gg. Kutisari Selatan No. 2,Kupang,085 801 3723,2001-03-19,3.01,2019-11-13
"Ir. Zelda Pranowo, S.Ked",Jl. Kapten Muslihat No. 7,Payakumbuh,+62-31-034-8245,1966-06-17,3.09,2020-09-22
Atmaja Hariyah,Jl. Sadang Serang No. 078,Blitar,(002) 041-5790,1995-08-27,3.18,2022-06-30
Shakila Yulianti,Gang Ciwastra No. 856,Jambi,+62-0190-112-1738,1992-05-08,3.09,2019-03-25
Rina Astuti,Gg. Dipenogoro No. 65,Kota Administrasi Jakarta Utara,(0640) 442-4186,1983-06-25,2.34,2019-10-30
Michelle Waskita,Jalan Joyoboyo No. 6,Kotamobagu,+62 (999) 218 1958,1969-05-05,2.75,2021-06-28
Karman Wahyudin,Gg. Monginsidi No. 39,Sungai Penuh,+62-0463-479-7961,1964-10-31,1.15,2019-06-12
"drg. Suci Sihombing, S.IP",Gg. Rumah Sakit No. 17,Pekanbaru,+62-61-690-0814,1981-06-05,1.16,2021-07-12
Dagel Pangestu,Jl. M.H Thamrin No. 217,Solok,+62 (080) 432 0621,1992-04-25,3.41,2020-01-27
Jaya Prakasa,Jalan Waringin No. 6,Sibolga,+62 (356) 687 0689,1977-03-18,3.43,2019-03-28
Irma Suryatmi,Jl. Siliwangi No. 190,Tegal,(043) 490 7842,1983-09-03,3.19,2019-11-13
"Dt. Cahyanto Widodo, M.Farm",Jl. Setiabudhi No. 6,Palembang,+62 (0017) 148-1507,1996-11-10,3.12,2019-05-27
"Cut Azalea Dongoran, M.TI.",Jl. M.H Thamrin No. 3,Tidore Kepulauan,085 900 0282,1999-11-04,3.59,2020-02-22
"Ir. Tina Jailani, S.T.",Gg. Gegerkalong Hilir No. 50,Purwokerto,+62-0448-863-1704,1981-04-15,1.13,2022-05-24
Dodo Namaga,Gang Pelajar Pejuang No. 77,Palu,+62 (44) 826-7448,1975-09-04,3.26,2018-07-18
Emong Mandala,Jl. KH Amin Jasuta No. 15,Pontianak,+62-855-285-8022,1963-07-26,3.25,2019-09-15
Faizah Nashiruddin,Gg. M.H Thamrin No. 9,Batu,+62 (983) 756-0247,1982-03-06,3.06,2022-12-05
"Drs. Queen Hidayat, M.M.",Jalan Tubagus Ismail No. 18,Madiun,+62-12-292-8756,1994-03-30,1.09,2021-06-25
Jinawi Sitompul,Jalan Pelajar Pejuang No. 5,Balikpapan,+62 (0377) 112 8152,1986-06-14,3.13,2022-12-09
Widya Saragih,Gang Ciwastra No. 060,Manado,+62 (30) 681-4456,1975-02-04,3.51,2022-07-07
Purwa Wulandari,Gg. Wonoayu No. 860,Palangkaraya,+62 (19) 624-7312,1994-12-20,3.32,2022-10-06
Kamidin Anggraini,Gg. Waringin No. 50,Pematangsiantar,(056) 339 7111,1994-06-28,3.42,2019-05-29
Ozy Wahyudin,Jl. Otto Iskandardinata No. 80,Kota Administrasi Jakarta Selatan,+62 (0384) 550 6867,1979-07-02,3.09,2019-03-02
Jumari Mansur,Gang Astana Anyar No. 6,Kota Administrasi Jakarta Timur,+62 (0499) 122-7496,2001-05-11,3.08,2021-12-16
"Dt. Endra Napitupulu, M.Pd",Gg. Siliwangi No. 59,Bontang,+62-17-570-7497,1993-02-05,3.13,2021-04-25
Dipa Maheswara,Jalan Tubagus Ismail No. 34,Lubuklinggau,086 519 8277,1980-07-15,3.26,2021-02-05
Suci Simanjuntak,Gg. Rajawali Barat No. 89,Blitar,+62-0340-667-6978,1983-06-30,3.44,2019-03-30
"Puti Nurul Mardhiyah, M.M.",Gang Lembong No. 299,Makassar,+62-606-603-0155,1979-12-29,3.27,2022-07-19
Tgk. Lantar Winarsih,Gang Cihampelas No. 8,Tanjungpinang,(053) 633 8104,1965-06-30,2.18,2020-02-24
"Darman Wulandari, M.Ak",Jl. Tubagus Ismail No. 172,Pagaralam,(064) 138 6397,1995-07-10,3.1,2020-02-24
Dirja Prasasta,Gang Cikapayang No. 70,Pekanbaru,(0611) 253 6267,1969-05-19,3.06,2021-02-14
Betania Tampubolon,Jl. Pasirkoja No. 9,Pangkalpinang,+62-801-135-8550,1986-07-07,3.15,2019-12-11
Drs. Rahmi Hasanah,Jalan Jayawijaya No. 248,Balikpapan,088 581 8515,1989-09-11,2.93,2023-05-14
"Hj. Ani Waluyo, S.Farm",Gg. Surapati No. 1,Lubuklinggau,+62 (294) 410-4267,1966-03-01,3.28,2021-08-24
"Dt. Kacung Nugroho, S.IP",Jalan Rajawali Barat No. 01,Parepare,+62 (320) 061-4904,1967-01-29,2.82,2020-01-09
Lalita Hutasoit,Gg. Gegerkalong Hilir No. 20,Pontianak,(044) 461 4542,1977-12-02,3.02,2018-11-14
"Nabila Simbolon, S.T.",Jalan Kutai No. 854,Padang Sidempuan,+62 (61) 377-5831,1993-01-26,3.18,2018-06-11
Virman Utama,Gang Jend. A. Yani No. 9,Medan,(0656) 922 3690,1988-06-13,2.91,2018-12-10
"Ir. Ibun Siregar, S.I.Kom",Gg. Cihampelas No. 84,Langsa,+62 (046) 667 1057,1996-06-20,3.04,2022-12-08
Lembah Haryanti,Gang Pacuan Kuda No. 623,Bogor,+62-20-531-0085,1979-08-07,3.1,2022-04-27
"R. Violet Maryati, M.Pd",Jl. Sadang Serang No. 4,Palopo,+62 (0118) 871-9538,2001-09-11,3.2,2021-07-21
"Drs. Nilam Lestari, S.Pt",Gang Ronggowarsito No. 3,Tomohon,(0370) 104-7573,1966-04-06,3.56,2019-10-29
Karja Sihombing,Gg. W.R. Supratman No. 75,Bandung,+62 (0851) 224-2056,1990-02-04,3.52,2023-04-09
Qori Latupono,Gg. Ir. H. Djuanda No. 5,Tasikmalaya,(0996) 693-6876,1991-09-20,3.52,2019-09-01
"R.M. Ridwan Mangunsong, S.Ked",Gg. Kapten Muslihat No. 10,Lhokseumawe,+62-0125-749-6514,1989-11-14,3.5,2020-01-30
"R.M. Kacung Kurniawan, M.TI.",Jl. Raya Setiabudhi No. 2,Ambon,(0962) 383-3729,1966-03-11,3.4,2019-10-09
"Kamal Handayani, S.E.",Jl. KH Amin Jasuta No. 52,Tangerang,+62 (027) 869 0022,1992-06-04,3.56,2020-06-05
drg. Damar Iswahyudi,Jl. Sukabumi No. 812,Tangerang Selatan,+62 (034) 550 5760,1986-05-09,3.42,2022-10-22
"Lala Budiyanto, S.Pd",Gg. Sadang Serang No. 4,Serang,+62 (047) 180 5509,1972-11-04,3.07,2022-10-31
"dr. Keisha Sudiati, S.Ked",Jalan Kapten Muslihat No. 72,Probolinggo,+62 (0605) 082 5990,1995-10-04,3.39,2022-05-30
"Devi Najmudin, S.E.I",Gang Pasirkoja No. 7,Bitung,(018) 110 9375,1974-04-28,3.12,2020-07-28
Ade Farida,Gg. Moch. Toha No. 141,Banda Aceh,+62-42-681-4041,1967-06-14,3.48,2021-10-24
"Drs. Ajeng Mulyani, S.Sos",Gg. Kapten Muslihat No. 69,Bandung,+62 (0401) 544-1839,1976-09-20,3.58,2020-11-18
Rina Simbolon,Jalan Surapati No. 5,Banjar,+62 (43) 131 4457,1981-11-07,3.23,2022-09-11
Anita Nuraini,Jl. Wonoayu No. 931,Ambon,(0903) 835 3927,1976-07-06,3.25,2022-09-06
Azalea Hidayat,Jalan Abdul Muis No. 501,Payakumbuh,+62-049-631-6683,1966-11-16,3.31,2018-07-16
Gina Saputra,Jl. Raya Ujungberung No. 0,Bekasi,+62 (03) 116-5133,2000-05-27,3.46,2020-08-13
R. Edi Uwais,Jalan Kutisari Selatan No. 953,Surakarta,+62 (055) 320-7972,1974-07-25,3.4,2020-07-08
Zizi Mulyani,Jl. Peta No. 49,Sibolga,+62 (0228) 536 5839,1974-11-21,3.06,2022-12-27
Banara Salahudin,Gg. Erlangga No. 6,Palangkaraya,0835355367,1981-11-25,3.4,2021-03-03
"Ina Pertiwi, S.Pt",Gang Ir. H. Djuanda No. 10,Padang Sidempuan,+62 (01) 678-6217,1983-08-20,3.38,2020-10-24
Nadine Purnawati,Gang Rajawali Timur No. 996,Gorontalo,+62 (09) 541 3803,1980-12-05,3.44,2020-11-20
Elvin Namaga,Gang Monginsidi No. 7,Bandar Lampung,(0554) 816 3383,2002-11-29,3.44,2020-12-15
Ayu Prayoga,Gang Gardujati No. 215,Tidore Kepulauan,+62-97-088-7149,1968-05-12,3.4,2019-11-08
Bahuwirya Pangestu,Jl. Gegerkalong Hilir No. 669,Tual,+62-0431-204-8671,2001-11-18,3.35,2019-08-28
Harsana Sinaga,Jalan Astana Anyar No. 1,Pekalongan,+62 (036) 317 9389,1996-11-16,3.21,2020-06-02
Ani Rajasa,Gg. Tubagus Ismail No. 94,Pontianak,+62 (0077) 847 5694,1988-05-07,3.4,2020-07-22
Ira Budiman,Gg. Pacuan Kuda No. 133,Sungai Penuh,+62-13-915-2177,1977-02-07,3.35,2020-11-11
Oni Maryadi,Gg. Rumah Sakit No. 41,Surabaya,+62 (072) 469-2017,1964-05-15,3.46,2019-07-31
Jayadi Irawan,Gang Jamika No. 32,Pematangsiantar,+62 (72) 714-3838,1986-06-10,3.43,2022-11-11
"Bancar Pangestu, S.H.",Gang Indragiri No. 79,Sorong,(033) 790 1031,1989-05-18,3.4,2020-03-29
Gaiman Nasyidah,Jl. Wonoayu No. 03,Tangerang Selatan,+62 (0150) 191-7429,1973-08-26,3.59,2019-03-05
"Puti Intan Nababan, S.T.",Jalan Surapati No. 650,Bogor,(006) 283-1830,1982-03-24,2.98,2020-05-14
Gamani Pratiwi,Gang Siliwangi No. 37,Bandung,(0925) 847-2977,1978-04-03,2.89,2021-04-25
Maria Anggriawan,Jl. Rajawali Barat No. 51,Pariaman,(0231) 434-2584,1975-10-03,2.84,2020-10-04
"Maria Adriansyah, S.Sos",Gang Erlangga No. 63,Medan,+62-0510-551-2319,1984-12-28,3.0,2022-06-06
Dr. Rusman Mahendra,Gg. M.T Haryono No. 8,Manado,+62 (0219) 409 2143,2001-09-01,3.3,2019-05-02
"Bakiman Lailasari, S.E.",Jl. Stasiun Wonokromo No. 11,Kota Administrasi Jakarta Utara,(065) 355-6258,1975-12-19,2.92,2020-04-06
Padma Prakasa,Gang Rumah Sakit No. 360,Pariaman,+62 (010) 060 7044,1990-02-09,3.39,2021-04-26
"Ivan Prayoga, S.Psi",Jl. Jend. Sudirman No. 7,Sawahlunto,+62 (206) 993 9160,1969-02-14,2.91,2020-07-27
"H. Hartaka Mayasari, S.Gz",Gang Dipenogoro No. 21,Payakumbuh,+62-0956-993-5919,1992-04-21,3.05,2019-05-08
"Aurora Sinaga, S.Pd",Gang Dr. Djunjunan No. 595,Banjar,+62 (0198) 443-2891,1972-02-14,2.82,2019-09-04
Mila Sihombing,Jl. Cempaka No. 287,Depok,+62 (77) 381 5290,1970-02-14,2.98,2020-12-24
"KH. Harsanto Marpaung, S.Pd",Gg. Ahmad Dahlan No. 4,Palopo,+62-0391-197-6642,1988-07-19,2.91,2019-09-28
Baktiadi Tamba,Gg. Bangka Raya No. 231,Banjar,+62 (074) 682 0143,1989-03-28,2.52,2020-05-16
R. Balidin Yulianti,Gang Medokan Ayu No. 449,Langsa,+62 (174) 584-1594,1970-03-10,2.78,2022-06-29
Laila Pangestu,Jl. Ir. H. Djuanda No. 60,Kota Administrasi Jakarta Utara,+62-56-172-7233,1988-09-23,2.7,2020-02-04
dr. Paiman Pradipta,Gang Kutai No. 53,Ambon,(076) 221 5178,1965-10-04,2.77,2020-08-13
"Laila Wijayanti, S.Ked",Gg. Suryakencana No. 5,Sibolga,+62 (0190) 047-3930,1996-01-27,2.8,2019-08-04
Erik Waskita,Gg. Kutisari Selatan No. 75,Surakarta,+62 (643) 151 9697,1972-08-03,2.93,2020-01-10
"Danuja Najmudin, S.Ked",Jl. Cempaka No. 937,Meulaboh,+62 (16) 276 9738,1986-11-10,2.84,2020-07-21
Ayu Hartati,Gang Sukajadi No. 31,Pekanbaru,(060) 072-6580,1974-07-15,2.84,2020-02-09
Fitria Siregar,Gang Cikutra Barat No. 86,Solok,+62-89-772-4500,1989-06-02,3.18,2020-07-18
Lembah Melani,Jl. Erlangga No. 0,Manado,(0921) 667-5722,1982-11-01,3.41,2019-10-01
Jessica Suryono,Gg. Cikutra Timur No. 68,Jambi,+62 (0685) 393 3477,1985-11-02,2.88,2019-10-22
"Suci Siregar, M.Farm",Jl. S. Parman No. 4,Langsa,086 441 8343,1975-10-12,3.08,2020-09-18
Vera Siregar,Jalan Cikutra Timur No. 80,Kotamobagu,+62 (0076) 054 6939,1988-09-21,3.36,2019-12-25
Mahesa Maulana,Gg. Waringin No. 7,Samarinda,+62-037-870-0639,1992-12-11,2.8,2022-12-12
Qori Firgantoro,Gang BKR No. 0,Solok,(0032) 030-8819,1984-07-10,3.15,2020-08-06
Marsudi Samosir,Gg. Kiaracondong No. 996,Probolinggo,(0567) 980 9805,1978-07-26,3.34,2023-02-10
Tgk. Taufan Prasetyo,Gg. HOS. Cokroaminoto No. 639,Jayapura,+62 (85) 549-5730,1995-11-19,3.28,2023-04-24
Gandewa Sirait,Jl. Raya Setiabudhi No. 4,Kupang,081 015 4802,1998-07-24,3.55,2023-05-09
"Restu Firmansyah, S.H.",Gang S. Parman No. 646,Sabang,(042) 816-2050,1971-07-10,3.45,2021-03-17
"Sabrina Tarihoran, S.Kom",Jalan Jamika No. 2,Sukabumi,+62 (0006) 959 8340,1970-04-24,3.65,2018-05-29
Ajiono Maulana,Gang Kutisari Selatan No. 7,Mojokerto,+62-43-910-7445,2000-11-09,3.5,2020-04-23
Asman Nashiruddin,Jalan Kutai No. 316,Surabaya,+62-648-478-6459,1986-07-29,3.52,2020-03-25
Zelaya Tamba,Gg. Indragiri No. 30,Tarakan,+62-226-817-3199,1991-08-30,3.32,2020-03-08
"Aditya Rahimah, M.Farm",Gg. Cihampelas No. 7,Purwokerto,+62-074-690-1999,1978-09-24,3.66,2019-02-04
Raihan Thamrin,Jl. Sukajadi No. 582,Denpasar,+62 (785) 409-7720,1992-10-13,3.57,2020-10-26
"Sutan Upik Napitupulu, S.E.I",Jl. Peta No. 5,Prabumulih,+62-65-799-9918,1967-02-12,3.38,2018-08-10
"Drs. Devi Widiastuti, S.Pd",Gang Pasirkoja No. 25,Tanjungbalai,(042) 968 2217,1985-07-05,3.42,2022-04-13
Ellis Mansur,Jalan Moch. Toha No. 769,Cimahi,086 741 3445,1978-08-09,3.42,2022-04-15
Tri Dabukke,Gang Tubagus Ismail No. 9,Manado,+62 (066) 901 4646,1979-06-03,2.95,2021-08-26
"Hj. Zulaikha Thamrin, M.Pd",Jalan Pasirkoja No. 05,Tasikmalaya,(0988) 555-7342,1970-01-15,2.44,2022-02-17
Vanesa Hutasoit,Gg. Moch. Ramdan No. 014,Balikpapan,+62-0048-710-1631,1976-08-19,1.52,2018-09-17
Farhunnisa Samosir,Gang Cempaka No. 35,Pontianak,+62 (553) 109 1363,2002-01-16,1.85,2021-09-21
Elma Hariyah,Jl. Jakarta No. 76,Purwokerto,0877751243,1967-06-06,1.96,2021-02-03
Julia Laksmiwati,Jalan Soekarno Hatta No. 8,Tual,(0993) 724-5148,1988-11-12,1.56,2020-12-25
Olivia Marpaung,Gang W.R. Supratman No. 47,Sawahlunto,(0182) 037 1723,1978-10-03,1.44,2019-02-07
T. Mulyanto Simanjuntak,Jl. Abdul Muis No. 4,Pasuruan,+62-453-556-5130,1993-07-18,1.77,2021-03-17
"Himawan Gunarto, M.Ak",Jl. Rajawali Timur No. 8,Mojokerto,+62 (93) 525 1672,1983-01-09,2.61,2018-07-19
"Among Widodo, S.Pd",Gang Peta No. 1,Bengkulu,(052) 337-9075,1996-09-28,2.04,2021-07-06
Nyana Budiman,Gg. Dipenogoro No. 5,Palu,(0202) 085-0749,2001-07-28,1.54,2018-05-30
"Sutan Kardi Prakasa, S.Kom",Gg. Ciwastra No. 7,Mataram,+62 (624) 947 9919,1969-10-16,1.5,2019-08-05
Tgk. Eli Pranowo,Jl. Rajawali Timur No. 00,Palopo,+62-006-829-5632,1979-04-04,3.08,2020-04-20
"Drs. Mustika Hutagalung, S.E.I",Gang Abdul Muis No. 22,Pariaman,+62-78-578-2656,1970-12-16,3.35,2023-04-22
Kasiyah Mayasari,Jl. Kebonjati No. 87,Ambon,(0647) 869 6078,1980-12-13,1.46,2018-09-09
Siti Mahendra,Jl. Lembong No. 2,Cimahi,+62 (076) 975-7319,1976-08-13,1.31,2020-04-20
"Ir. Waluyo Anggriawan, M.Pd",Jalan Indragiri No. 1,Serang,+62 (40) 534 2680,1984-06-05,2.04,2020-01-28
Radit Thamrin,Gang Indragiri No. 0,Batu,+62 (081) 693 0845,1994-10-02,2.12,2020-12-01
Cahyadi Jailani,Jalan W.R. Supratman No. 1,Tangerang,+62 (075) 634 7261,1982-01-26,2.08,2020-02-03
